Champion,wr,wrdelta,avgwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank
Riven,60.47,9.31,51.16,5.70,6.34,31.0,3.329752953813104,top lane,506,CHALLENGER
Ahri,56.85,4.4,52.45,13.24,3.80,20.0,4.545454545454545,middle lane,"1,175",CHALLENGER
Nautilus,57.79,4.82,52.97,12.15,12.48,33.0,6.846473029045643,support lane,"1,078",CHALLENGER
Ambessa,57.88,8.61,49.27,10.01,37.55,40.0,4.645760743321719,jungle lane,888,CHALLENGER
Ashe,58.12,4.24,53.879999999999995,10.68,3.39,30.0,7.0754716981132075,bottom lane,948,CHALLENGER
Akali,57.75,8.7,49.05,9.23,18.75,27.0,3.1034482758620694,middle lane,819,CHALLENGER
Talon,59.55,10.6,48.949999999999996,6.07,16.05,30.0,2.8301886792452833,jungle lane,539,CHALLENGER
Lulu,57.58,8.0,49.58,8.47,7.75,20.0,2.5,support lane,752,CHALLENGER
Twisted Fate,62.38,5.32,57.06,4.82,1.05,34.0,6.390977443609022,middle lane,428,CHALLENGER
Shen,60.96,12.63,48.33,2.83,1.97,16.0,1.2668250197941409,top lane,251,CHALLENGER
Hecarim,60.1,13.16,46.94,4.57,7.06,23.0,1.7477203647416413,jungle lane,406,CHALLENGER
Jinx,55.64,6.93,48.71,9.09,1.34,2.0,0.28860028860028863,bottom lane,807,CHALLENGER
Rakan,61.3,8.95,52.349999999999994,5.04,0.59,30.0,3.3519553072625703,support lane,447,CHALLENGER
Elise,67.11,12.44,54.67,3.39,5.89,42.0,3.3762057877813505,support lane,301,CHALLENGER
Fiora,58.68,9.03,49.65,4.28,8.95,15.0,1.6611295681063125,top lane,380,CHALLENGER
Lucian,56.86,5.28,51.58,13.14,3.92,20.0,3.7878787878787876,bottom lane,"1,166",CHALLENGER
Irelia,56.04,4.45,51.589999999999996,6.25,12.10,5.0,1.1235955056179774,top lane,555,CHALLENGER
Rengar,66.25,9.78,56.47,3.64,22.37,51.0,5.214723926380368,jungle lane,323,CHALLENGER
Qiyana,56.66,4.14,52.519999999999996,5.33,9.72,7.0,1.6908212560386475,middle lane,473,CHALLENGER
Bard,57.23,4.55,52.68,15.12,10.70,31.0,6.813186813186814,support lane,"1,342",CHALLENGER
Yunara,53.61,7.04,46.57,14.21,3.98,-26.0,-3.6931818181818183,bottom lane,"1,261",CHALLENGER
Janna,58.77,9.9,48.870000000000005,3.85,1.71,13.0,1.3131313131313131,support lane,342,CHALLENGER
Vayne,56.25,3.78,52.47,8.47,10.46,8.0,2.1164021164021167,top lane,752,CHALLENGER
Rek'Sai,65.13,8.79,56.339999999999996,2.68,2.82,27.0,3.071672354948806,jungle lane,238,CHALLENGER
Jax,59.15,4.45,54.699999999999996,5.30,14.47,23.0,5.168539325842697,top lane,470,CHALLENGER
Twitch,58.47,8.14,50.33,2.79,3.57,9.0,1.1056511056511056,bottom lane,248,CHALLENGER
Syndra,58.64,6.07,52.57,6.78,3.68,23.0,3.789126853377265,middle lane,602,CHALLENGER
